time, Azimuth, channel 5 distance, channel5 X, channel5 Y, channel5 Z, error
0.137214, 356.056667, 3.004000, -0.206585, 2.996888, 0.000000, -0.003112
0.137568, 356.158333, 2.996000, -0.200731, 2.989268, 0.000000, -0.010732
0.137833, 356.265000, 2.992000, -0.194905, 2.985645, 0.000000, -0.014355
0.138106, 356.358333, 3.000000, -0.190549, 2.993942, 0.000000, -0.006058
0.138379, 356.465000, 3.004000, -0.185221, 2.998284, 0.000000, -0.001716
0.138635, 356.558333, 3.000000, -0.180097, 2.994589, 0.000000, -0.005411
0.138888, 356.665000, 2.996000, -0.174289, 2.990926, 0.000000, -0.009074
0.139144, 356.758333, 2.992000, -0.169190, 2.987213, 0.000000, -0.012787
0.139396, 356.865000, 2.996000, -0.163848, 2.991516, 0.000000, -0.008484
0.144951, 356.955000, 3.000000, -0.159361, 2.995764, 0.000000, -0.004236
0.146495, 357.065000, 3.000000, -0.153609, 2.996065, 0.000000, -0.003935
0.146819, 357.156667, 2.996000, -0.148617, 2.992312, 0.000000, -0.007688
0.147105, 357.256667, 2.992000, -0.143203, 2.988571, 0.000000, -0.011429
0.147388, 357.356667, 2.992000, -0.137987, 2.988816, 0.000000, -0.011184
0.147654, 357.456667, 2.996000, -0.132947, 2.993049, 0.000000, -0.006951
0.147916, 357.556667, 3.000000, -0.127894, 2.997273, 0.000000, -0.002727
0.148221, 357.656667, 3.000000, -0.122662, 2.997491, 0.000000, -0.002509
0.148535, 357.756667, 2.996000, -0.117274, 2.993704, 0.000000, -0.006296
0.148824, 357.855000, 2.996000, -0.112136, 2.993901, 0.000000, -0.006099
0.149104, 357.946667, 2.996000, -0.107346, 2.994076, 0.000000, -0.005924
0.149376, 358.046667, 3.004000, -0.102393, 3.002254, 0.000000, 0.002254
0.149643, 358.146667, 2.996000, -0.096894, 2.994433, 0.000000, -0.005567
0.151000, 358.246667, 2.996000, -0.091668, 2.994597, 0.000000, -0.005403
0.151294, 358.346667, 2.996000, -0.086441, 2.994753, 0.000000, -0.005247
0.151566, 358.446667, 2.992000, -0.081106, 2.990901, 0.000000, -0.009099
0.151838, 358.646667, 3.000000, -0.070854, 2.999163, 0.000000, -0.000837
0.152122, 358.746667, 2.996000, -0.065532, 2.995283, 0.000000, -0.004717
0.152390, 358.846667, 2.996000, -0.060304, 2.995393, 0.000000, -0.004607
0.152655, 358.946667, 2.996000, -0.055076, 2.995494, 0.000000, -0.004506
0.152941, 359.046667, 3.000000, -0.049914, 2.999585, 0.000000, -0.000415
0.153210, 359.146667, 3.000000, -0.044679, 2.999667, 0.000000, -0.000333
0.153475, 359.246667, 2.996000, -0.039391, 2.995741, 0.000000, -0.004259
0.153754, 359.346667, 2.996000, -0.034162, 2.995805, 0.000000, -0.004195
0.155092, 359.446667, 3.000000, -0.028972, 2.999860, 0.000000, -0.000140
0.155365, 359.546667, 3.000000, -0.023736, 2.999906, 0.000000, -0.000094
0.155647, 359.646667, 3.000000, -0.018500, 2.999943, 0.000000, -0.000057
0.155918, 359.746667, 3.000000, -0.013264, 2.999971, 0.000000, -0.000029
0.156213, 359.846667, 3.000000, -0.008029, 2.999989, 0.000000, -0.000011
0.156495, 359.946667, 3.004000, -0.002796, 3.003999, 0.000000, 0.003999
0.156769, 0.046667, 3.004000, 0.002447, 3.003999, 0.000000, 0.003999
0.157042, 0.146667, 3.000000, 0.007679, 2.999990, 0.000000, -0.000010
0.157321, 0.246667, 3.000000, 0.012915, 2.999972, 0.000000, -0.000028
0.157591, 0.346667, 3.000000, 0.018151, 2.999945, 0.000000, -0.000055
0.157854, 0.446667, 3.000000, 0.023387, 2.999909, 0.000000, -0.000091
0.158169, 0.546667, 3.000000, 0.028623, 2.999863, 0.000000, -0.000137
0.159519, 0.646667, 2.996000, 0.033814, 2.995809, 0.000000, -0.004191
0.159802, 0.746667, 3.000000, 0.039094, 2.999745, 0.000000, -0.000255
0.160083, 0.845000, 3.000000, 0.044242, 2.999674, 0.000000, -0.000326
0.160350, 0.936667, 3.004000, 0.049107, 3.003599, 0.000000, 0.003599
