time, Azimuth, channel 5 distance, channel5 X, channel5 Y, channel5 Z, error
0.020821, 356.026667, 3.976000, -0.275506, 3.966443, 0.000000, -0.033557
0.021254, 356.126667, 3.988000, -0.269393, 3.978891, 0.000000, -0.021109
0.021584, 356.226667, 3.996000, -0.262975, 3.987337, 0.000000, -0.012663
0.021877, 356.326667, 3.988000, -0.255503, 3.979807, 0.000000, -0.020193
0.022224, 356.426667, 3.988000, -0.248556, 3.980247, 0.000000, -0.019753
0.023599, 356.526667, 3.992000, -0.241851, 3.984667, 0.000000, -0.015333
0.023893, 356.626667, 3.988000, -0.234661, 3.981090, 0.000000, -0.018910
0.024227, 356.726667, 3.988000, -0.227712, 3.981494, 0.000000, -0.018506
0.024569, 356.826667, 3.988000, -0.220763, 3.981885, 0.000000, -0.018115
0.030143, 356.926667, 3.976000, -0.213170, 3.970281, 0.000000, -0.029719
0.030647, 357.026667, 3.996000, -0.207277, 3.990621, 0.000000, -0.009379
0.031033, 357.126667, 3.984000, -0.199710, 3.978991, 0.000000, -0.021009
0.031344, 357.226667, 3.984000, -0.192765, 3.979334, 0.000000, -0.020666
0.031623, 357.326667, 3.984000, -0.185820, 3.979664, 0.000000, -0.020336
0.031899, 357.426667, 3.988000, -0.179053, 3.983978, 0.000000, -0.016022
0.032173, 357.526667, 3.976000, -0.171582, 3.972296, 0.000000, -0.027704
0.032477, 357.626667, 3.984000, -0.164980, 3.980583, 0.000000, -0.019417
0.033842, 357.726667, 3.996000, -0.158508, 3.992855, 0.000000, -0.007145
0.034125, 357.826667, 3.992000, -0.151388, 3.989128, 0.000000, -0.010872
0.034422, 357.926667, 3.980000, -0.143991, 3.977394, 0.000000, -0.022606
0.034698, 358.026667, 3.976000, -0.136911, 3.973642, 0.000000, -0.026358
0.034992, 358.126667, 3.972000, -0.129845, 3.969877, 0.000000, -0.030123
0.035299, 358.225000, 3.976000, -0.123155, 3.974092, 0.000000, -0.025908
0.035583, 358.316667, 3.984000, -0.117032, 3.982281, 0.000000, -0.017719
0.035878, 358.416667, 3.980000, -0.109971, 3.978480, 0.000000, -0.021520
0.036180, 358.616667, 3.988000, -0.096276, 3.986838, 0.000000, -0.013162
0.036458, 358.716667, 3.988000, -0.089317, 3.987000, 0.000000, -0.013000
0.036731, 358.816667, 3.980000, -0.082193, 3.979151, 0.000000, -0.020849
