time, Azimuth, channel 5 distance, channel5 X, channel5 Y, channel5 Z, error
0.187410, 356.065000, 1.996000, -0.136975, 1.991295, 0.000000, -0.008705
0.187769, 356.158333, 1.996000, -0.133731, 1.991515, 0.000000, -0.008485
0.188049, 356.268333, 1.996000, -0.129907, 1.991768, 0.000000, -0.008232
0.189277, 357.556667, 1.992000, -0.084922, 1.990189, 0.000000, -0.009811
0.189556, 357.656667, 2.000000, -0.081775, 1.998328, 0.000000, -0.001672
0.189816, 357.756667, 1.992000, -0.077974, 1.990473, 0.000000, -0.009527
0.190087, 357.855000, 1.992000, -0.074558, 1.990604, 0.000000, -0.009396
0.190352, 357.946667, 1.992000, -0.071373, 1.990721, 0.000000, -0.009279
0.190620, 358.046667, 1.992000, -0.067898, 1.990842, 0.000000, -0.009158
0.195842, 358.146667, 1.992000, -0.064424, 1.990958, 0.000000, -0.009042
0.196227, 358.246667, 1.996000, -0.061071, 1.995065, 0.000000, -0.004935
0.196505, 358.346667, 1.996000, -0.057589, 1.995169, 0.000000, -0.004831
0.196823, 358.446667, 1.996000, -0.054106, 1.995267, 0.000000, -0.004733
0.198238, 358.746667, 1.996000, -0.043659, 1.995522, 0.000000, -0.004478
0.198537, 358.846667, 1.992000, -0.040095, 1.991596, 0.000000, -0.008404
0.198859, 358.946667, 1.988000, -0.036546, 1.987664, 0.000000, -0.012336
0.199147, 359.046667, 1.996000, -0.033210, 1.995724, 0.000000, -0.004276
0.199418, 359.146667, 1.996000, -0.029726, 1.995779, 0.000000, -0.004221
0.199703, 359.246667, 1.992000, -0.026190, 1.991828, 0.000000, -0.008172
0.199974, 359.346667, 2.000000, -0.022805, 1.999870, 0.000000, -0.000130
0.200255, 359.446667, 2.000000, -0.019315, 1.999907, 0.000000, -0.000093
0.200524, 359.546667, 1.976000, -0.015634, 1.975938, 0.000000, -0.024062
0.200815, 359.646667, 2.000000, -0.012334, 1.999962, 0.000000, -0.000038
0.201089, 359.746667, 1.996000, -0.008825, 1.995980, 0.000000, -0.004020
0.201381, 359.846667, 1.992000, -0.005331, 1.991993, 0.000000, -0.008007
0.202679, 1.146667, 2.000000, 0.040024, 1.999599, 0.000000, -0.000401
0.202969, 1.245000, 1.992000, 0.043281, 1.991530, 0.000000, -0.008470
0.203241, 1.336667, 1.992000, 0.046468, 1.991458, 0.000000, -0.008542
